date,region,category,ticket_count
2026-07-03,East Region,other,6
2026-07-04,East Region,checkout_error,3
2026-07-04,East Region,other,8
2026-07-05,East Region,checkout_error,3
2026-07-05,East Region,other,7
2026-07-06,East Region,checkout_error,2
2026-07-06,East Region,other,4
2026-07-07,East Region,checkout_error,4
2026-07-07,East Region,other,7
2026-07-08,East Region,checkout_error,2
2026-07-08,East Region,other,5
2026-07-09,East Region,checkout_error,4
2026-07-09,East Region,other,8
2026-07-10,East Region,checkout_error,3
2026-07-10,East Region,other,6
2026-07-11,East Region,checkout_error,4
2026-07-11,East Region,other,8
2026-07-12,East Region,checkout_error,4
2026-07-12,East Region,other,6
2026-07-13,East Region,checkout_error,2
2026-07-13,East Region,other,7
2026-07-14,East Region,checkout_error,3
2026-07-14,East Region,other,4
2026-07-15,East Region,checkout_error,3
2026-07-15,East Region,other,7
2026-07-16,East Region,checkout_error,2
2026-07-16,East Region,other,8
2026-07-17,East Region,checkout_error,4
2026-07-17,East Region,other,6
2026-07-18,East Region,checkout_error,2
2026-07-18,East Region,other,4
2026-07-19,East Region,checkout_error,2
2026-07-19,East Region,other,5
2026-07-20,East Region,checkout_error,4
2026-07-20,East Region,other,4
2026-07-21,East Region,checkout_error,2
2026-07-21,East Region,other,5
2026-07-22,East Region,checkout_error,4
2026-07-22,East Region,other,8
2026-07-23,East Region,checkout_error,2
2026-07-23,East Region,other,4
2026-07-24,East Region,checkout_error,2
2026-07-24,East Region,other,8
2026-07-25,East Region,checkout_error,3
2026-07-25,East Region,other,4
2026-07-26,East Region,checkout_error,3
2026-07-26,East Region,other,5
2026-07-27,East Region,checkout_error,4
2026-07-27,East Region,other,5
2026-07-28,East Region,checkout_error,2
2026-07-28,East Region,other,6
2026-07-29,East Region,checkout_error,3
2026-07-29,East Region,other,8
2026-07-30,East Region,checkout_error,4
2026-07-30,East Region,other,4
2026-07-31,East Region,checkout_error,3
2026-07-31,East Region,other,8
2026-08-01,East Region,checkout_error,2
2026-08-01,East Region,other,4
2026-08-02,East Region,checkout_error,4
2026-08-02,East Region,other,4
2026-08-03,East Region,checkout_error,2
2026-08-03,East Region,other,6
2026-08-04,East Region,checkout_error,2
2026-08-04,East Region,other,5
2026-08-05,East Region,checkout_error,3
2026-08-05,East Region,other,6
2026-08-06,East Region,checkout_error,2
2026-08-06,East Region,other,6
2026-08-07,East Region,checkout_error,3
2026-08-07,East Region,other,7
2026-08-08,East Region,checkout_error,2
2026-08-08,East Region,other,5
2026-08-09,East Region,checkout_error,12
2026-08-09,East Region,other,7
2026-08-10,East Region,checkout_error,9
2026-08-10,East Region,other,8
2026-08-11,East Region,checkout_error,12
2026-08-11,East Region,other,4
2026-08-12,East Region,checkout_error,12
2026-08-12,East Region,other,7
2026-08-13,East Region,checkout_error,12
2026-08-13,East Region,other,8
2026-08-14,East Region,checkout_error,12
2026-08-14,East Region,other,8
2026-08-15,East Region,checkout_error,12
2026-08-15,East Region,other,7
2026-08-16,East Region,checkout_error,12
2026-08-16,East Region,other,6
2026-08-17,East Region,checkout_error,12
2026-08-17,East Region,other,6
2026-08-18,East Region,checkout_error,4
2026-08-18,East Region,other,6
2026-08-19,East Region,checkout_error,4
2026-08-19,East Region,other,8
2026-08-20,East Region,checkout_error,3
2026-08-20,East Region,other,6
2026-08-21,East Region,checkout_error,2
2026-08-21,East Region,other,6
2026-08-22,East Region,checkout_error,3
2026-08-22,East Region,other,5
2026-08-23,East Region,checkout_error,4
2026-08-23,East Region,other,7
2026-08-24,East Region,checkout_error,2
2026-08-24,East Region,other,8
2026-06-01,North Region,checkout_error,4
2026-06-01,North Region,other,4
2026-06-02,North Region,checkout_error,3
2026-06-02,North Region,other,4
2026-06-03,North Region,checkout_error,3
2026-06-03,North Region,other,8
2026-06-04,North Region,checkout_error,3
2026-06-04,North Region,other,6
2026-06-05,North Region,checkout_error,2
2026-06-05,North Region,other,8
2026-06-06,North Region,checkout_error,2
2026-06-06,North Region,other,8
2026-06-07,North Region,checkout_error,3
2026-06-07,North Region,other,5
2026-06-08,North Region,checkout_error,4
2026-06-08,North Region,other,6
2026-06-09,North Region,checkout_error,2
2026-06-09,North Region,other,6
2026-06-10,North Region,checkout_error,2
2026-06-10,North Region,other,4
2026-06-11,North Region,checkout_error,3
2026-06-11,North Region,other,8
2026-06-12,North Region,checkout_error,4
2026-06-12,North Region,other,8
2026-06-13,North Region,checkout_error,2
2026-06-13,North Region,other,4
2026-06-14,North Region,checkout_error,3
2026-06-14,North Region,other,6
2026-06-15,North Region,checkout_error,2
2026-06-15,North Region,other,4
2026-06-16,North Region,checkout_error,4
2026-06-16,North Region,other,5
2026-06-17,North Region,checkout_error,2
2026-06-17,North Region,other,6
2026-06-18,North Region,checkout_error,3
2026-06-18,North Region,other,7
2026-06-19,North Region,checkout_error,3
2026-06-19,North Region,other,6
2026-06-20,North Region,checkout_error,3
2026-06-20,North Region,other,5
2026-06-21,North Region,checkout_error,2
2026-06-21,North Region,other,5
2026-06-22,North Region,checkout_error,2
2026-06-22,North Region,other,5
2026-06-23,North Region,checkout_error,3
2026-06-23,North Region,other,7
2026-06-24,North Region,checkout_error,4
2026-06-24,North Region,other,6
2026-06-25,North Region,checkout_error,3
2026-06-25,North Region,other,5
2026-06-26,North Region,checkout_error,2
2026-06-26,North Region,other,8
2026-06-27,North Region,checkout_error,4
2026-06-27,North Region,other,8
2026-06-28,North Region,checkout_error,2
2026-06-28,North Region,other,6
2026-06-29,North Region,checkout_error,2
2026-06-29,North Region,other,5
2026-06-30,North Region,checkout_error,4
2026-06-30,North Region,other,6
2026-07-01,North Region,checkout_error,4
2026-07-01,North Region,other,5
2026-07-02,North Region,checkout_error,2
2026-07-02,North Region,other,4
2026-07-03,North Region,checkout_error,2
2026-07-03,North Region,other,6
2026-07-04,North Region,checkout_error,3
2026-07-04,North Region,other,4
2026-07-05,North Region,checkout_error,4
2026-07-05,North Region,other,5
2026-07-06,North Region,checkout_error,4
2026-07-06,North Region,other,5
2026-07-07,North Region,checkout_error,3
2026-07-07,North Region,other,5
2026-07-08,North Region,checkout_error,3
2026-07-08,North Region,other,4
2026-07-09,North Region,checkout_error,4
2026-07-09,North Region,other,6
2026-07-10,North Region,checkout_error,2
2026-07-10,North Region,other,5
2026-07-11,North Region,checkout_error,4
2026-07-11,North Region,other,4
2026-07-12,North Region,checkout_error,4
2026-07-12,North Region,other,4
2026-07-13,North Region,checkout_error,3
2026-07-13,North Region,other,5
2026-07-14,North Region,checkout_error,3
2026-07-14,North Region,other,7
2026-07-15,North Region,checkout_error,4
2026-07-15,North Region,other,6
2026-07-16,North Region,checkout_error,4
2026-07-16,North Region,other,8
2026-07-17,North Region,checkout_error,2
2026-07-17,North Region,other,4
2026-07-18,North Region,checkout_error,3
2026-07-18,North Region,other,7
2026-07-19,North Region,checkout_error,4
2026-07-19,North Region,other,6
2026-07-20,North Region,checkout_error,2
2026-07-20,North Region,other,5
2026-07-21,North Region,checkout_error,4
2026-07-21,North Region,other,5
2026-07-22,North Region,checkout_error,2
2026-07-22,North Region,other,6
2026-07-23,North Region,checkout_error,3
2026-07-23,North Region,other,7
2026-07-24,North Region,checkout_error,2
2026-07-24,North Region,other,4
2026-07-25,North Region,checkout_error,4
2026-07-25,North Region,other,8
2026-07-26,North Region,checkout_error,2
2026-07-26,North Region,other,4
2026-07-27,North Region,checkout_error,2
2026-07-27,North Region,other,6
2026-07-28,North Region,checkout_error,4
2026-07-28,North Region,other,5
2026-07-29,North Region,checkout_error,3
2026-07-29,North Region,other,8
2026-07-30,North Region,checkout_error,4
2026-07-30,North Region,other,6
2026-07-31,North Region,checkout_error,3
2026-07-31,North Region,other,4
2026-08-01,North Region,checkout_error,2
2026-08-01,North Region,other,5
2026-08-02,North Region,checkout_error,4
2026-08-02,North Region,other,8
2026-08-03,North Region,checkout_error,3
2026-08-03,North Region,other,5
2026-08-04,North Region,checkout_error,3
2026-08-04,North Region,other,7
2026-08-05,North Region,checkout_error,4
2026-08-05,North Region,other,7
2026-08-06,North Region,checkout_error,2
2026-08-06,North Region,other,5
2026-08-07,North Region,checkout_error,3
2026-08-07,North Region,other,5
2026-08-08,North Region,checkout_error,3
2026-08-08,North Region,other,5
2026-08-09,North Region,checkout_error,2
2026-08-09,North Region,other,4
2026-08-10,North Region,checkout_error,2
2026-08-10,North Region,other,4
2026-08-11,North Region,checkout_error,2
2026-08-11,North Region,other,8
2026-08-12,North Region,checkout_error,2
2026-08-12,North Region,other,5
2026-08-13,North Region,checkout_error,4
2026-08-13,North Region,other,4
2026-08-14,North Region,checkout_error,2
2026-08-14,North Region,other,4
2026-08-15,North Region,checkout_error,2
2026-08-15,North Region,other,6
2026-08-16,North Region,checkout_error,4
2026-08-16,North Region,other,6
2026-08-17,North Region,checkout_error,4
2026-08-17,North Region,other,4
